id,name,artist,popularity,genre,subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,93,pop,global,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,audio_features,spotify:track:6WatFBLVB0x077xWeoVc2k,https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k,https://api.spotify.com/v1/audio-analysis/6WatFBLVB0x077xWeoVc2k,195824,4
03IpZ9yqJlo3EIgDQUgBSF,Nueva Era,"Duki, Myke Towers",82,latin,modern,0.556,0.724,0,-3.165,1,0.119,0.267,0,0.217,0.681,101.097,audio_features,spotify:track:03IpZ9yqJlo3EIgDQUgBSF,https://api.spotify.com/v1/tracks/03IpZ9yqJlo3EIgDQUgBSF,https://api.spotify.com/v1/audio-analysis/03IpZ9yqJlo3EIgDQUgBSF,246889,3
6aJn7Cst74cj4lNIiPRgav,Touch,KATSEYE,85,pop,mainstream,0.739,0.904,5,-2.655,0,0.0442,0.549,1.03e-05,0.0948,0.788,167.033,audio_features,spotify:track:6aJn7Cst74cj4lNIiPRgav,https://api.spotify.com/v1/tracks/6aJn7Cst74cj4lNIiPRgav,https://api.spotify.com/v1/audio-analysis/6aJn7Cst74cj4lNIiPRgav,129883,4
5jt25aFjW2kNoBqaEVaz5W,LA INOCENTE,"Mora, Feid",78,latin,chill,0.757,0.789,5,-3.46,0,0.0583,0.307,0,0.0717,0.464,91.911,audio_features,spotify:track:5jt25aFjW2kNoBqaEVaz5W,https://api.spotify.com/v1/tracks/5jt25aFjW2kNoBqaEVaz5W,https://api.spotify.com/v1/audio-analysis/5jt25aFjW2kNoBqaEVaz5W,202174,4
7BKLCZ1jbUBVqRi2FVlTVw,Closer,"The Chainsmokers, Halsey",84,electronic,modern,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,audio_features,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,244960,4
0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",89,latin,modern,0.56,0.681,6,-6.304,0,0.244,0.103,0,0.106,0.388,155.079,audio_features,spotify:track:0Sr7ssScx54yxdM2ols7nW,https://api.spotify.com/v1/tracks/0Sr7ssScx54yxdM2ols7nW,https://api.spotify.com/v1/audio-analysis/0Sr7ssScx54yxdM2ols7nW,223320,4
6njJR3OIp3oA0Kc4aC9Tzf,MONTAGEM - PR FUNK,"S3BZS, Mc Gw, Mc Menor Do Alvorada",77,gaming,modern,0.877,0.803,9,-3.195,1,0.0507,0.734,0.056,0.087,0.795,130.028,audio_features,spotify:track:6njJR3OIp3oA0Kc4aC9Tzf,https://api.spotify.com/v1/tracks/6njJR3OIp3oA0Kc4aC9Tzf,https://api.spotify.com/v1/audio-analysis/6njJR3OIp3oA0Kc4aC9Tzf,61673,4
1uGUbgZuO1kD1JZ0UeFupN,Hecha Pa' Mí,Grupo Frontera,82,latin,modern,0.742,0.832,8,-4.267,1,0.0325,0.0857,0,0.296,0.716,98.582,audio_features,spotify:track:1uGUbgZuO1kD1JZ0UeFupN,https://api.spotify.com/v1/tracks/1uGUbgZuO1kD1JZ0UeFupN,https://api.spotify.com/v1/audio-analysis/1uGUbgZuO1kD1JZ0UeFupN,195846,4
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",84,pop,mainstream,0.504,0.386,11,-10.976,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,audio_features,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,https://api.spotify.com/v1/tracks/2OzhQlSqBEmt7hmkYxfT6m,https://api.spotify.com/v1/audio-analysis/2OzhQlSqBEmt7hmkYxfT6m,228965,4
3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",80,latin,chill,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,audio_features,spotify:track:3k3NWokhRRkEPhCzPmV8TW,https://api.spotify.com/v1/tracks/3k3NWokhRRkEPhCzPmV8TW,https://api.spotify.com/v1/audio-analysis/3k3NWokhRRkEPhCzPmV8TW,258299,4
21B4gaTWnTkuSh77iWEXdS,Juno,Sabrina Carpenter,87,pop,global,0.633,0.725,5,-4.257,1,0.0427,0.0461,0,0.205,0.64,130.504,audio_features,spotify:track:21B4gaTWnTkuSh77iWEXdS,https://api.spotify.com/v1/tracks/21B4gaTWnTkuSh77iWEXdS,https://api.spotify.com/v1/audio-analysis/21B4gaTWnTkuSh77iWEXdS,223192,4
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,86,r&b,modern,0.559,0.551,5,-7.231,1,0.132,0.141,0,0.11,0.392,143.008,audio_features,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/tracks/4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/audio-analysis/4iZ4pt7kvcaH6Yo8UoZ4s2,201800,4
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,88,gaming,modern,0.635,0.601,1,-6.129,0,0.0295,0.246,0,0.11,0.332,123.994,audio_features,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,https://api.spotify.com/v1/tracks/3Vr3zh0r7ALn8VLqCiRR10,https://api.spotify.com/v1/audio-analysis/3Vr3zh0r7ALn8VLqCiRR10,172533,4
2HafqoJbgXdtjwCOvNEF14,Si No Estás,iñigo quintero,80,latin,chill,0.537,0.421,5,-8.72,1,0.0285,0.827,0,0.138,0.524,98.224,audio_features,spotify:track:2HafqoJbgXdtjwCOvNEF14,https://api.spotify.com/v1/tracks/2HafqoJbgXdtjwCOvNEF14,https://api.spotify.com/v1/audio-analysis/2HafqoJbgXdtjwCOvNEF14,184061,4
0agQ9vIV7NP4dntGKLcCXO,Somebody (2024),"Gotye, FISHER, Chris Lake, Kimbra, Sante Sansone",77,gaming,modern,0.848,0.629,0,-6.198,1,0.0424,0.016,0.18,0.049,0.586,130.017,audio_features,spotify:track:0agQ9vIV7NP4dntGKLcCXO,https://api.spotify.com/v1/tracks/0agQ9vIV7NP4dntGKLcCXO,https://api.spotify.com/v1/audio-analysis/0agQ9vIV7NP4dntGKLcCXO,153519,4
19KlZwqlT3fguP2BeHF1Q1,Disease,Lady Gaga,86,pop,mainstream,0.562,0.917,11,-2.768,0,0.117,0.0513,0,0.488,0.501,100.987,audio_features,spotify:track:19KlZwqlT3fguP2BeHF1Q1,https://api.spotify.com/v1/tracks/19KlZwqlT3fguP2BeHF1Q1,https://api.spotify.com/v1/audio-analysis/19KlZwqlT3fguP2BeHF1Q1,229997,4
1f18HzFpegqvH4ibGJyeMJ,2 hands,Tate McRae,79,pop,mainstream,0.608,0.806,1,-3.443,1,0.0486,0.121,0,0.191,0.587,104.032,audio_features,spotify:track:1f18HzFpegqvH4ibGJyeMJ,https://api.spotify.com/v1/tracks/1f18HzFpegqvH4ibGJyeMJ,https://api.spotify.com/v1/audio-analysis/1f18HzFpegqvH4ibGJyeMJ,181821,4
3mg9jYNC1NihbthlglzrWP,+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",83,pop,global,0.848,0.712,1,-3.574,0,0.0981,0.221,0,0.106,0.692,91.98,audio_features,spotify:track:3mg9jYNC1NihbthlglzrWP,https://api.spotify.com/v1/tracks/3mg9jYNC1NihbthlglzrWP,https://api.spotify.com/v1/audio-analysis/3mg9jYNC1NihbthlglzrWP,298131,4
6PhRhocBXP4y7NpciGmzra,Después De La 1,"Cris Mj, FloyyMenor, LOUKI",86,latin,modern,0.805,0.581,6,-5.091,0,0.0601,0.0303,0.0202,0.0933,0.528,99.973,audio_features,spotify:track:6PhRhocBXP4y7NpciGmzra,https://api.spotify.com/v1/tracks/6PhRhocBXP4y7NpciGmzra,https://api.spotify.com/v1/audio-analysis/6PhRhocBXP4y7NpciGmzra,177600,4
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",84,pop,mainstream,0.638,0.855,7,-4.86,1,0.0264,0.00757,0,0.245,0.731,127.986,audio_features,spotify:track:7221xIgOnuakPdLqT0F3nP,https://api.spotify.com/v1/tracks/7221xIgOnuakPdLqT0F3nP,https://api.spotify.com/v1/audio-analysis/7221xIgOnuakPdLqT0F3nP,178206,4
