loudness,track_album_name,uri,analysis_url,id,time_signature,mode,track_name,speechiness,playlist_id,danceability,playlist_genre,track_id,track_album_release_date,duration_ms,acousticness,track_artist,energy,tempo,instrumentalness,playlist_subgenre,type,track_href,key,track_album_id,playlist_name,liveness,valence,track_popularity
-3.785,The Long Road Home - The Ultimate John Fogerty / Creedence Collection,spotify:track:5e6x5YRnMJIKvYpZxLqdpH,https://api.spotify.com/v1/audio-analysis/5e6x5YRnMJIKvYpZxLqdpH,5e6x5YRnMJIKvYpZxLqdpH,4,1,Fortunate Son,0.0393,37i9dQZF1DWXRqgorJj26U,0.636,rock,5e6x5YRnMJIKvYpZxLqdpH,2005-12-14,138053,0.0648,Creedence Clearwater Revival,0.746,132.31,0.29,classic,audio_features,https://api.spotify.com/v1/tracks/5e6x5YRnMJIKvYpZxLqdpH,0,4A8gFwqd9jTtnsNwUu3OQx,Rock Classics,0.173,0.432,23
-6.219,The Collection,spotify:track:5FqYA8KfiwsQvyBI4IamnY,https://api.spotify.com/v1/audio-analysis/5FqYA8KfiwsQvyBI4IamnY,5FqYA8KfiwsQvyBI4IamnY,4,1,Jump - 2015 Remaster,0.0317,37i9dQZF1DWXRqgorJj26U,0.572,rock,5FqYA8KfiwsQvyBI4IamnY,2015-03-27,241600,0.171,Van Halen,0.835,129.981,0.000377,classic,audio_features,https://api.spotify.com/v1/tracks/5FqYA8KfiwsQvyBI4IamnY,0,2c965LEDRNrXXCeBOAAwns,Rock Classics,0.0702,0.795,53
-7.299,Bella Donna (Deluxe Edition),spotify:track:5LNiqEqpDc8TuqPy79kDBu,https://api.spotify.com/v1/audio-analysis/5LNiqEqpDc8TuqPy79kDBu,5LNiqEqpDc8TuqPy79kDBu,4,1,Edge of Seventeen - 2016 Remaster,0.0454,37i9dQZF1DWXRqgorJj26U,0.591,rock,5LNiqEqpDc8TuqPy79kDBu,2016-11-04,329413,0.327,Stevie Nicks,0.804,111.457,5.98e-06,classic,audio_features,https://api.spotify.com/v1/tracks/5LNiqEqpDc8TuqPy79kDBu,0,3S404OgKoVQSJ3xXrDVlp8,Rock Classics,0.0818,0.658,55
-17.042,"Love, Ella",spotify:track:78MI7mu1LV1k4IA2HzKmHe,https://api.spotify.com/v1/audio-analysis/78MI7mu1LV1k4IA2HzKmHe,78MI7mu1LV1k4IA2HzKmHe,4,1,Dream A Little Dream Of Me - Single Version,0.101,37i9dQZF1DXbITWG1ZJKYt,0.443,jazz,78MI7mu1LV1k4IA2HzKmHe,2007-05-03,185160,0.913,"Ella Fitzgerald, Louis Armstrong",0.104,76.474,0,classic,audio_features,https://api.spotify.com/v1/tracks/78MI7mu1LV1k4IA2HzKmHe,0,1y5KGkUKO0NG32MhIIagCA,Jazz Classics,0.191,0.394,64
-9.691,Shapes of Rhythm/Woman Is Sweeter,spotify:track:6MN6yRVriszuyAVlyF8ndB,https://api.spotify.com/v1/audio-analysis/6MN6yRVriszuyAVlyF8ndB,6MN6yRVriszuyAVlyF8ndB,4,0,Coffee Cold,0.0298,37i9dQZF1DXbITWG1ZJKYt,0.685,jazz,6MN6yRVriszuyAVlyF8ndB,2000-01-01,205720,0.785,Galt MacDermot,0.472,80.487,0.284,classic,audio_features,https://api.spotify.com/v1/tracks/6MN6yRVriszuyAVlyF8ndB,9,6f4b9wVTkKAf096k4XG6x5,Jazz Classics,0.224,0.475,62
-10.158,Ultimate Sinatra,spotify:track:2dR5WkrpwylTuT3jRWNufa,https://api.spotify.com/v1/audio-analysis/2dR5WkrpwylTuT3jRWNufa,2dR5WkrpwylTuT3jRWNufa,4,1,Fly Me To The Moon,0.0566,37i9dQZF1DXbITWG1ZJKYt,0.67,jazz,2dR5WkrpwylTuT3jRWNufa,2015-04-17,147147,0.525,"Frank Sinatra, Count Basie",0.365,119.347,0,classic,audio_features,https://api.spotify.com/v1/tracks/2dR5WkrpwylTuT3jRWNufa,0,7gmak9ZGm10y4PtZa9SBQn,Jazz Classics,0.0575,0.45,61
-14.571,The Complete Ella And Louis On Verve,spotify:track:33jt3kYWjQzqn3xyYQ5ZEh,https://api.spotify.com/v1/audio-analysis/33jt3kYWjQzqn3xyYQ5ZEh,33jt3kYWjQzqn3xyYQ5ZEh,4,1,Cheek To Cheek,0.0914,37i9dQZF1DXbITWG1ZJKYt,0.663,jazz,33jt3kYWjQzqn3xyYQ5ZEh,1997-05-20,354533,0.706,"Ella Fitzgerald, Louis Armstrong",0.264,122.482,0,classic,audio_features,https://api.spotify.com/v1/tracks/33jt3kYWjQzqn3xyYQ5ZEh,0,2uqlkJu6vckJahCsp6Hfcn,Jazz Classics,0.1,0.657,60
-11.065,B. G. In Hi Fi,spotify:track:1xUJ1mdLAysxNBtO9w3J2g,https://api.spotify.com/v1/audio-analysis/1xUJ1mdLAysxNBtO9w3J2g,1xUJ1mdLAysxNBtO9w3J2g,4,0,Stompin At The Savoy,0.0373,37i9dQZF1DXbITWG1ZJKYt,0.525,jazz,1xUJ1mdLAysxNBtO9w3J2g,1990-01-01,195533,0.836,Benny Goodman,0.222,156.364,0.0799,classic,audio_features,https://api.spotify.com/v1/tracks/1xUJ1mdLAysxNBtO9w3J2g,10,33oCBSZiLbfqyOnTTQ4Tct,Jazz Classics,0.051,0.645,55
-20.494,Quiet Kenny,spotify:track:3GOZbK2epuHzCt5YvvVFHO,https://api.spotify.com/v1/audio-analysis/3GOZbK2epuHzCt5YvvVFHO,3GOZbK2epuHzCt5YvvVFHO,4,0,Alone Together - Rudy Van Gelder Remaster 2006,0.0363,37i9dQZF1DXbITWG1ZJKYt,0.336,jazz,3GOZbK2epuHzCt5YvvVFHO,1992-01-01,190400,0.985,Kenny Dorham,0.0619,60.705,0.891,classic,audio_features,https://api.spotify.com/v1/tracks/3GOZbK2epuHzCt5YvvVFHO,5,4B0pF1WLB3pCaZ4eTx5U8S,Jazz Classics,0.11,0.197,54
-8.142,Song For My Father,spotify:track:1CDBaGlisZlOJzvx88lL8A,https://api.spotify.com/v1/audio-analysis/1CDBaGlisZlOJzvx88lL8A,1CDBaGlisZlOJzvx88lL8A,4,0,Song For My Father,0.0407,37i9dQZF1DXbITWG1ZJKYt,0.742,jazz,1CDBaGlisZlOJzvx88lL8A,1999-01-01,438280,0.794,Horace Silver,0.671,127.359,0.00441,classic,audio_features,https://api.spotify.com/v1/tracks/1CDBaGlisZlOJzvx88lL8A,5,4LEnATSqKeANOJ0mLUAuCE,Jazz Classics,0.122,0.591,53
