key,track_artist,energy,track_id,liveness,speechiness,track_popularity,playlist_subgenre,time_signature,track_href,valence,id,track_album_release_date,uri,danceability,tempo,playlist_name,track_album_name,duration_ms,analysis_url,instrumentalness,type,track_album_id,playlist_genre,track_name,playlist_id,acousticness,loudness,mode
0,Creedence Clearwater Revival,0.746,5e6x5YRnMJIKvYpZxLqdpH,0.173,0.0393,23,classic,4,https://api.spotify.com/v1/tracks/5e6x5YRnMJIKvYpZxLqdpH,0.432,5e6x5YRnMJIKvYpZxLqdpH,2005-12-14,spotify:track:5e6x5YRnMJIKvYpZxLqdpH,0.636,132.31,Rock Classics,The Long Road Home - The Ultimate John Fogerty / Creedence Collection,138053,https://api.spotify.com/v1/audio-analysis/5e6x5YRnMJIKvYpZxLqdpH,0.29,audio_features,4A8gFwqd9jTtnsNwUu3OQx,rock,Fortunate Son,37i9dQZF1DWXRqgorJj26U,0.0648,-3.785,1
0,Van Halen,0.835,5FqYA8KfiwsQvyBI4IamnY,0.0702,0.0317,53,classic,4,https://api.spotify.com/v1/tracks/5FqYA8KfiwsQvyBI4IamnY,0.795,5FqYA8KfiwsQvyBI4IamnY,2015-03-27,spotify:track:5FqYA8KfiwsQvyBI4IamnY,0.572,129.981,Rock Classics,The Collection,241600,https://api.spotify.com/v1/audio-analysis/5FqYA8KfiwsQvyBI4IamnY,0.000377,audio_features,2c965LEDRNrXXCeBOAAwns,rock,Jump - 2015 Remaster,37i9dQZF1DWXRqgorJj26U,0.171,-6.219,1
0,"Ella Fitzgerald, Louis Armstrong",0.104,78MI7mu1LV1k4IA2HzKmHe,0.191,0.101,64,classic,4,https://api.spotify.com/v1/tracks/78MI7mu1LV1k4IA2HzKmHe,0.394,78MI7mu1LV1k4IA2HzKmHe,2007-05-03,spotify:track:78MI7mu1LV1k4IA2HzKmHe,0.443,76.474,Jazz Classics,"Love, Ella",185160,https://api.spotify.com/v1/audio-analysis/78MI7mu1LV1k4IA2HzKmHe,0,audio_features,1y5KGkUKO0NG32MhIIagCA,jazz,Dream A Little Dream Of Me - Single Version,37i9dQZF1DXbITWG1ZJKYt,0.913,-17.042,1
9,Galt MacDermot,0.472,6MN6yRVriszuyAVlyF8ndB,0.224,0.0298,62,classic,4,https://api.spotify.com/v1/tracks/6MN6yRVriszuyAVlyF8ndB,0.475,6MN6yRVriszuyAVlyF8ndB,2000-01-01,spotify:track:6MN6yRVriszuyAVlyF8ndB,0.685,80.487,Jazz Classics,Shapes of Rhythm/Woman Is Sweeter,205720,https://api.spotify.com/v1/audio-analysis/6MN6yRVriszuyAVlyF8ndB,0.284,audio_features,6f4b9wVTkKAf096k4XG6x5,jazz,Coffee Cold,37i9dQZF1DXbITWG1ZJKYt,0.785,-9.691,0
0,"Frank Sinatra, Count Basie",0.365,2dR5WkrpwylTuT3jRWNufa,0.0575,0.0566,61,classic,4,https://api.spotify.com/v1/tracks/2dR5WkrpwylTuT3jRWNufa,0.45,2dR5WkrpwylTuT3jRWNufa,2015-04-17,spotify:track:2dR5WkrpwylTuT3jRWNufa,0.67,119.347,Jazz Classics,Ultimate Sinatra,147147,https://api.spotify.com/v1/audio-analysis/2dR5WkrpwylTuT3jRWNufa,0,audio_features,7gmak9ZGm10y4PtZa9SBQn,jazz,Fly Me To The Moon,37i9dQZF1DXbITWG1ZJKYt,0.525,-10.158,1
0,"Ella Fitzgerald, Louis Armstrong",0.264,33jt3kYWjQzqn3xyYQ5ZEh,0.1,0.0914,60,classic,4,https://api.spotify.com/v1/tracks/33jt3kYWjQzqn3xyYQ5ZEh,0.657,33jt3kYWjQzqn3xyYQ5ZEh,1997-05-20,spotify:track:33jt3kYWjQzqn3xyYQ5ZEh,0.663,122.482,Jazz Classics,The Complete Ella And Louis On Verve,354533,https://api.spotify.com/v1/audio-analysis/33jt3kYWjQzqn3xyYQ5ZEh,0,audio_features,2uqlkJu6vckJahCsp6Hfcn,jazz,Cheek To Cheek,37i9dQZF1DXbITWG1ZJKYt,0.706,-14.571,1
10,Benny Goodman,0.222,1xUJ1mdLAysxNBtO9w3J2g,0.051,0.0373,55,classic,4,https://api.spotify.com/v1/tracks/1xUJ1mdLAysxNBtO9w3J2g,0.645,1xUJ1mdLAysxNBtO9w3J2g,1990-01-01,spotify:track:1xUJ1mdLAysxNBtO9w3J2g,0.525,156.364,Jazz Classics,B. G. In Hi Fi,195533,https://api.spotify.com/v1/audio-analysis/1xUJ1mdLAysxNBtO9w3J2g,0.0799,audio_features,33oCBSZiLbfqyOnTTQ4Tct,jazz,Stompin At The Savoy,37i9dQZF1DXbITWG1ZJKYt,0.836,-11.065,0
5,Kenny Dorham,0.0619,3GOZbK2epuHzCt5YvvVFHO,0.11,0.0363,54,classic,4,https://api.spotify.com/v1/tracks/3GOZbK2epuHzCt5YvvVFHO,0.197,3GOZbK2epuHzCt5YvvVFHO,1992-01-01,spotify:track:3GOZbK2epuHzCt5YvvVFHO,0.336,60.705,Jazz Classics,Quiet Kenny,190400,https://api.spotify.com/v1/audio-analysis/3GOZbK2epuHzCt5YvvVFHO,0.891,audio_features,4B0pF1WLB3pCaZ4eTx5U8S,jazz,Alone Together - Rudy Van Gelder Remaster 2006,37i9dQZF1DXbITWG1ZJKYt,0.985,-20.494,0
5,Horace Silver,0.671,1CDBaGlisZlOJzvx88lL8A,0.122,0.0407,53,classic,4,https://api.spotify.com/v1/tracks/1CDBaGlisZlOJzvx88lL8A,0.591,1CDBaGlisZlOJzvx88lL8A,1999-01-01,spotify:track:1CDBaGlisZlOJzvx88lL8A,0.742,127.359,Jazz Classics,Song For My Father,438280,https://api.spotify.com/v1/audio-analysis/1CDBaGlisZlOJzvx88lL8A,0.00441,audio_features,4LEnATSqKeANOJ0mLUAuCE,jazz,Song For My Father,37i9dQZF1DXbITWG1ZJKYt,0.794,-8.142,0
1,Gene Ammons,0.0422,6rK27cC9hX0e1Chrnxo9Vn,0.124,0.0537,53,classic,3,https://api.spotify.com/v1/tracks/6rK27cC9hX0e1Chrnxo9Vn,0.397,6rK27cC9hX0e1Chrnxo9Vn,2006-03-21,spotify:track:6rK27cC9hX0e1Chrnxo9Vn,0.519,130.436,Jazz Classics,Boss Tenor (RVG Remasters / Remastered 2006),252947,https://api.spotify.com/v1/audio-analysis/6rK27cC9hX0e1Chrnxo9Vn,0.929,audio_features,04l5TDoVZFNPvExGNdVjOj,jazz,My Romance - Remastered 2006,37i9dQZF1DXbITWG1ZJKYt,0.966,-10.778,1
