track_album_name,instrumentalness,tempo,id,speechiness,track_name,playlist_id,valence,type,playlist_genre,track_album_id,loudness,danceability,track_album_release_date,analysis_url,track_popularity,track_id,track_href,liveness,time_signature,playlist_subgenre,uri,track_artist,playlist_name,key,mode,duration_ms,acousticness,energy
The Long Road Home - The Ultimate John Fogerty / Creedence Collection,0.29,132.31,5e6x5YRnMJIKvYpZxLqdpH,0.0393,Fortunate Son,37i9dQZF1DWXRqgorJj26U,0.432,audio_features,rock,4A8gFwqd9jTtnsNwUu3OQx,-3.785,0.636,2005-12-14,https://api.spotify.com/v1/audio-analysis/5e6x5YRnMJIKvYpZxLqdpH,23,5e6x5YRnMJIKvYpZxLqdpH,https://api.spotify.com/v1/tracks/5e6x5YRnMJIKvYpZxLqdpH,0.173,4,classic,spotify:track:5e6x5YRnMJIKvYpZxLqdpH,Creedence Clearwater Revival,Rock Classics,0,1,138053,0.0648,0.746
Metallica,0.00903,123.331,5BIMPccDwShpXq784RJlJp,0.03,Enter Sandman,37i9dQZF1DWXRqgorJj26U,0.635,audio_features,rock,6QdCohkHKNTVoaSx1ZzitH,-8.71,0.579,1991-08-12,https://api.spotify.com/v1/audio-analysis/5BIMPccDwShpXq784RJlJp,4,5BIMPccDwShpXq784RJlJp,https://api.spotify.com/v1/tracks/5BIMPccDwShpXq784RJlJp,0.059,4,classic,spotify:track:5BIMPccDwShpXq784RJlJp,Metallica,Rock Classics,6,0,331573,0.00206,0.824
No Need To Argue,0.00483,166.973,2IZZqH4K02UIYg5EohpNHF,0.0339,Zombie,37i9dQZF1DWXRqgorJj26U,0.304,audio_features,rock,5GugLrmYMl5VRoe2zNgLGp,-8.957,0.307,1994-10-03,https://api.spotify.com/v1/audio-analysis/2IZZqH4K02UIYg5EohpNHF,5,2IZZqH4K02UIYg5EohpNHF,https://api.spotify.com/v1/tracks/2IZZqH4K02UIYg5EohpNHF,0.366,4,classic,spotify:track:2IZZqH4K02UIYg5EohpNHF,The Cranberries,Rock Classics,7,1,306427,0.0154,0.635
The Collection,0.000377,129.981,5FqYA8KfiwsQvyBI4IamnY,0.0317,Jump - 2015 Remaster,37i9dQZF1DWXRqgorJj26U,0.795,audio_features,rock,2c965LEDRNrXXCeBOAAwns,-6.219,0.572,2015-03-27,https://api.spotify.com/v1/audio-analysis/5FqYA8KfiwsQvyBI4IamnY,53,5FqYA8KfiwsQvyBI4IamnY,https://api.spotify.com/v1/tracks/5FqYA8KfiwsQvyBI4IamnY,0.0702,4,classic,spotify:track:5FqYA8KfiwsQvyBI4IamnY,Van Halen,Rock Classics,0,1,241600,0.171,0.835
"Love, Ella",0,76.474,78MI7mu1LV1k4IA2HzKmHe,0.101,Dream A Little Dream Of Me - Single Version,37i9dQZF1DXbITWG1ZJKYt,0.394,audio_features,jazz,1y5KGkUKO0NG32MhIIagCA,-17.042,0.443,2007-05-03,https://api.spotify.com/v1/audio-analysis/78MI7mu1LV1k4IA2HzKmHe,64,78MI7mu1LV1k4IA2HzKmHe,https://api.spotify.com/v1/tracks/78MI7mu1LV1k4IA2HzKmHe,0.191,4,classic,spotify:track:78MI7mu1LV1k4IA2HzKmHe,"Ella Fitzgerald, Louis Armstrong",Jazz Classics,0,1,185160,0.913,0.104
Shapes of Rhythm/Woman Is Sweeter,0.284,80.487,6MN6yRVriszuyAVlyF8ndB,0.0298,Coffee Cold,37i9dQZF1DXbITWG1ZJKYt,0.475,audio_features,jazz,6f4b9wVTkKAf096k4XG6x5,-9.691,0.685,2000-01-01,https://api.spotify.com/v1/audio-analysis/6MN6yRVriszuyAVlyF8ndB,62,6MN6yRVriszuyAVlyF8ndB,https://api.spotify.com/v1/tracks/6MN6yRVriszuyAVlyF8ndB,0.224,4,classic,spotify:track:6MN6yRVriszuyAVlyF8ndB,Galt MacDermot,Jazz Classics,9,0,205720,0.785,0.472
Ultimate Sinatra,0,119.347,2dR5WkrpwylTuT3jRWNufa,0.0566,Fly Me To The Moon,37i9dQZF1DXbITWG1ZJKYt,0.45,audio_features,jazz,7gmak9ZGm10y4PtZa9SBQn,-10.158,0.67,2015-04-17,https://api.spotify.com/v1/audio-analysis/2dR5WkrpwylTuT3jRWNufa,61,2dR5WkrpwylTuT3jRWNufa,https://api.spotify.com/v1/tracks/2dR5WkrpwylTuT3jRWNufa,0.0575,4,classic,spotify:track:2dR5WkrpwylTuT3jRWNufa,"Frank Sinatra, Count Basie",Jazz Classics,0,1,147147,0.525,0.365
The Complete Ella And Louis On Verve,0,122.482,33jt3kYWjQzqn3xyYQ5ZEh,0.0914,Cheek To Cheek,37i9dQZF1DXbITWG1ZJKYt,0.657,audio_features,jazz,2uqlkJu6vckJahCsp6Hfcn,-14.571,0.663,1997-05-20,https://api.spotify.com/v1/audio-analysis/33jt3kYWjQzqn3xyYQ5ZEh,60,33jt3kYWjQzqn3xyYQ5ZEh,https://api.spotify.com/v1/tracks/33jt3kYWjQzqn3xyYQ5ZEh,0.1,4,classic,spotify:track:33jt3kYWjQzqn3xyYQ5ZEh,"Ella Fitzgerald, Louis Armstrong",Jazz Classics,0,1,354533,0.706,0.264
B. G. In Hi Fi,0.0799,156.364,1xUJ1mdLAysxNBtO9w3J2g,0.0373,Stompin At The Savoy,37i9dQZF1DXbITWG1ZJKYt,0.645,audio_features,jazz,33oCBSZiLbfqyOnTTQ4Tct,-11.065,0.525,1990-01-01,https://api.spotify.com/v1/audio-analysis/1xUJ1mdLAysxNBtO9w3J2g,55,1xUJ1mdLAysxNBtO9w3J2g,https://api.spotify.com/v1/tracks/1xUJ1mdLAysxNBtO9w3J2g,0.051,4,classic,spotify:track:1xUJ1mdLAysxNBtO9w3J2g,Benny Goodman,Jazz Classics,10,0,195533,0.836,0.222
Quiet Kenny,0.891,60.705,3GOZbK2epuHzCt5YvvVFHO,0.0363,Alone Together - Rudy Van Gelder Remaster 2006,37i9dQZF1DXbITWG1ZJKYt,0.197,audio_features,jazz,4B0pF1WLB3pCaZ4eTx5U8S,-20.494,0.336,1992-01-01,https://api.spotify.com/v1/audio-analysis/3GOZbK2epuHzCt5YvvVFHO,54,3GOZbK2epuHzCt5YvvVFHO,https://api.spotify.com/v1/tracks/3GOZbK2epuHzCt5YvvVFHO,0.11,4,classic,spotify:track:3GOZbK2epuHzCt5YvvVFHO,Kenny Dorham,Jazz Classics,5,0,190400,0.985,0.0619
