track_name,valence,playlist_name,energy,id,speechiness,tempo,playlist_genre,track_id,track_album_release_date,mode,danceability,instrumentalness,time_signature,loudness,track_album_id,track_popularity,uri,duration_ms,track_href,track_artist,key,playlist_subgenre,acousticness,liveness,analysis_url,type,track_album_name,playlist_id
Not In The Mood (feat. Fivio Foreign & Kay Flock),0.357,Gangster Rap,0.82,25GyyK9CyZRiDCsPY51fIT,0.275,141.908,hip-hop,25GyyK9CyZRiDCsPY51fIT,2021-10-22,1,0.545,0,4,-4.489,5x8HOMCMbODsMSJtMtNXF7,60,spotify:track:25GyyK9CyZRiDCsPY51fIT,150476,https://api.spotify.com/v1/tracks/25GyyK9CyZRiDCsPY51fIT,"Lil Tjay, Fivio Foreign, Kay Flock",8,gangster,0.0951,0.29,https://api.spotify.com/v1/audio-analysis/25GyyK9CyZRiDCsPY51fIT,audio_features,Not In The Mood (feat. Fivio Foreign & Kay Flock),6mODZNt8CYYEBrWAyS5vs4
晴る,0.726,Anime Hits,0.571,5eY7692tmgHB9dbmq6wa2M,0.111,101.955,j-pop,5eY7692tmgHB9dbmq6wa2M,2024-01-05,0,0.695,3.58e-06,4,-6.249,4O53dhmIctih3p2suAAgga,70,spotify:track:5eY7692tmgHB9dbmq6wa2M,270705,https://api.spotify.com/v1/tracks/5eY7692tmgHB9dbmq6wa2M,ヨルシカ,11,anime,0.032,0.118,https://api.spotify.com/v1/audio-analysis/5eY7692tmgHB9dbmq6wa2M,audio_features,晴る,37i9dQZF1DX3f3gm9VK7fL
You've Got Another Thing Coming,0.532,Metal Essentials,0.833,4f3RDq9nYPBeR1yMSgnmBm,0.0496,138.225,metal,4f3RDq9nYPBeR1yMSgnmBm,1982,0,0.519,4.33e-06,4,-6.947,55MZQrenomrTq0aQneC7Pi,62,spotify:track:4f3RDq9nYPBeR1yMSgnmBm,310080,https://api.spotify.com/v1/tracks/4f3RDq9nYPBeR1yMSgnmBm,Judas Priest,6,classic,0.00572,0.104,https://api.spotify.com/v1/audio-analysis/4f3RDq9nYPBeR1yMSgnmBm,audio_features,Screaming For Vengeance (Expanded Edition),37i9dQZF1DWWOaP4H0w5b0
South Of Heaven,0.0395,Metal Essentials,0.991,3U9gogDStAfWxSm91PJuxb,0.316,140.071,metal,3U9gogDStAfWxSm91PJuxb,1988-01-01,0,0.31,0.085,4,-3.769,2UqJjz5eMYRzbbKToD3Peh,59,spotify:track:3U9gogDStAfWxSm91PJuxb,298533,https://api.spotify.com/v1/tracks/3U9gogDStAfWxSm91PJuxb,Slayer,5,classic,0.000132,0.0969,https://api.spotify.com/v1/audio-analysis/3U9gogDStAfWxSm91PJuxb,audio_features,South Of Heaven,37i9dQZF1DWWOaP4H0w5b0
Greatest Gift - Reimagined,0.682,Soul Coffee,0.554,4AN2N5UNDHyl4vYRcTEwD1,0.0767,170.002,soul,4AN2N5UNDHyl4vYRcTEwD1,2024-04-19,1,0.572,0.000819,4,-7.705,7fz7gZ1S8BnHGi96KESoQi,40,spotify:track:4AN2N5UNDHyl4vYRcTEwD1,239667,https://api.spotify.com/v1/tracks/4AN2N5UNDHyl4vYRcTEwD1,Jorja Smith,0,classic,0.168,0.0792,https://api.spotify.com/v1/audio-analysis/4AN2N5UNDHyl4vYRcTEwD1,audio_features,Greatest Gift (Reimagined),37i9dQZF1DXaXDsfv6nvZ5
Too Young To Go Steady,0.349,Jazz Classics,0.179,1qeO0T3LIqlUvrELz3Gngk,0.0391,129.502,jazz,1qeO0T3LIqlUvrELz3Gngk,1963,1,0.55,0.368,4,-12.481,0Ydakb7npXmyTwFLvKc5qt,50,spotify:track:1qeO0T3LIqlUvrELz3Gngk,259813,https://api.spotify.com/v1/tracks/1qeO0T3LIqlUvrELz3Gngk,John Coltrane Quartet,5,classic,0.965,0.0746,https://api.spotify.com/v1/audio-analysis/1qeO0T3LIqlUvrELz3Gngk,audio_features,Ballads (Deluxe Edition - Rudy Van Gelder Remaster),37i9dQZF1DXbITWG1ZJKYt
SPOT!,0.906,K-Pop Daebak,0.782,1SS0WlKhJewviwEDZ6dWj0,0.078,108.038,k-pop,1SS0WlKhJewviwEDZ6dWj0,2024-04-26,0,0.875,0,4,-3.905,3K3C9JjwCGQAzj3Bu7BUaI,78,spotify:track:1SS0WlKhJewviwEDZ6dWj0,167707,https://api.spotify.com/v1/tracks/1SS0WlKhJewviwEDZ6dWj0,"ZICO, JENNIE",5,modern,0.151,0.113,https://api.spotify.com/v1/audio-analysis/1SS0WlKhJewviwEDZ6dWj0,audio_features,SPOT!,1bNuDsel3P60p11Z7vfHMR
This Is Always,0.138,Jazz Classics,0.0644,6Kr25pa3pTd4no3yA0EcW1,0.0359,113.713,jazz,6Kr25pa3pTd4no3yA0EcW1,1993-08-02,0,0.417,0.000134,4,-19.687,3rFnwsVrrSYZQsCGTkOT7W,48,spotify:track:6Kr25pa3pTd4no3yA0EcW1,191960,https://api.spotify.com/v1/tracks/6Kr25pa3pTd4no3yA0EcW1,Betty Carter,4,classic,0.971,0.126,https://api.spotify.com/v1/audio-analysis/6Kr25pa3pTd4no3yA0EcW1,audio_features,Inside Betty Carter,37i9dQZF1DXbITWG1ZJKYt
I'm an Albatraoz,0.595,EDM Hits,0.817,5MhsZlmKJG6X5kTHkdwC4B,0.235,128.078,electronic,5MhsZlmKJG6X5kTHkdwC4B,2014-08-08,1,0.883,0.00449,4,-5.414,1qHVYbxQ6IS8YRviorKDJI,70,spotify:track:5MhsZlmKJG6X5kTHkdwC4B,166849,https://api.spotify.com/v1/tracks/5MhsZlmKJG6X5kTHkdwC4B,"AronChupa, Little Sis Nora",0,modern,0.601,0.11,https://api.spotify.com/v1/audio-analysis/5MhsZlmKJG6X5kTHkdwC4B,audio_features,I'm an Albatraoz,37i9dQZF1DX3Kdv0IChEm9
So Sick,0.578,R&B Hits,0.574,6brl7bwOHmGFkNw3MBqssT,0.311,92.795,r&b,6brl7bwOHmGFkNw3MBqssT,2006-01-01,1,0.452,0,4,-8.336,6gkwOLmk0ALMOjWs5WhAEr,78,spotify:track:6brl7bwOHmGFkNw3MBqssT,207187,https://api.spotify.com/v1/tracks/6brl7bwOHmGFkNw3MBqssT,Ne-Yo,6,modern,0.245,0.189,https://api.spotify.com/v1/audio-analysis/6brl7bwOHmGFkNw3MBqssT,audio_features,In My Own Words,37i9dQZF1EQoqCH7BwIYb7
